ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3165221,1705539,39.76904327,-104.91224245,,3690,,,N,Monaco Street,Pkwy,,,,,,,,,3690 N Monaco Street Pkwy
S,3165226,1705152,39.7679814,-104.91223243,,3612,,,N,Monaco Street,Pkwy,,,,,,,,,3612 N Monaco Street Pkwy
S,3163958,1703389,39.76316418,-104.91678554,,3265,,,N,Krameria,St,,,,,,,,,3265 N Krameria St
S,3163952,1703013,39.76213227,-104.91681309,,6123,,,E,Martin Luther King,Blvd,,,,,,,,,6123 E Martin Luther King Blvd
S,3163832,1703020,39.76215321,-104.91724044,,6101,,,E,Martin Luther King,Blvd,,,,,,,,,6101 E Martin Luther King Blvd
S,3164669,1703062,39.76225372,-104.9142623,,3205,,,N,Locust,St,,,,,,,,,3205 N Locust St
S,3164516,1703064,39.76226232,-104.91480566,,6315,,,E,Martin Luther King,Blvd,,,,,,,,,6315 E Martin Luther King Blvd
S,3161170,1706236,39.77102808,-104.92663687,,3888,,,N,Forest,St,,,,,,,,,3888 N Forest St
S,3160817,1707111,39.77343624,-104.92787385,,5105,,,E,41st,Ave,,,,,,,,,5105 E 41st Ave
S,3160481,1706884,39.77282009,-104.92907399,,5040,,,E,41st,Ave,,,,,,,,,5040 E 41st Ave
S,3160268,1705629,39.76937787,-104.92985798,,4925,,,E,38th,Ave,,,,,,,,,4925 E 38th Ave
S,3182989,1706468,39.77126133,-104.84901225,,3891,,,N,Paris,St,,,,,,,,,3891 N Paris St
S,3183232,1706242,39.77063615,-104.84815357,,3870,,,N,Paris,St,,,,,,,,,3870 N Paris St
S,3187221,1709233,39.77876736,-104.83388522,,4552,,,N,Anaheim,Ct,,,,,,,,,4552 N Anaheim Ct
S,3187792,1709421,39.77927193,-104.83184881,,4642,,,N,Carson,St,,,,,,,,,4642 N Carson St
S,3187820,1709489,39.77945803,-104.83174741,,4662,,,N,Carson,St,,,,,,,,,4662 N Carson St
S,3187878,1709632,39.77984941,-104.83153731,,4692,,,N,Carson,St,,,,,,,,,4692 N Carson St
S,3187907,1709701,39.78003823,-104.83143233,,4712,,,N,Carson,St,,,,,,,,,4712 N Carson St
S,3187907,1710972,39.78352727,-104.83139905,,4870,,,N,Crown,Blvd,,,,,,,,,4870 N Crown Blvd
L,3167003,1708513,39.77717717,-104.90583361,,7000,,,E,43rd,Ave,,,,,,,,,7000 E 43rd Ave
L,3166693,1708297,39.77658847,-104.90694145,,6900,,,E,43rd,Ave,,,,,,,,,6900 E 43rd Ave
S,3165798,1708559,39.77732368,-104.91011953,,6748,,,E,Stapleton South,Dr,,,Bldg,1,,,Bldg,1,6748 E Stapleton South Dr Bldg 1
S,3165798,1708559,39.77732368,-104.91011953,,6748,,,E,Stapleton South,Dr,,,Bldg,2,,,Bldg,2,6748 E Stapleton South Dr Bldg 2
S,3188079,1711066,39.78378183,-104.8307846,,4895,,,N,Blackhawk,Way,,,,,,,,,4895 N Blackhawk Way